operation,is_control,penalty,arity,inputs,min_input,output,delta,monotone
composition,False,1,3,0|0|4,0,0,0,True
composition,False,1,3,0|1|0,0,0,0,True
composition,False,1,3,0|1|1,0,0,0,True
composition,False,1,3,0|1|2,0,0,0,True
composition,False,1,3,0|1|3,0,0,0,True
composition,False,1,3,0|1|4,0,0,0,True
composition,False,1,3,0|2|0,0,0,0,True
composition,False,1,3,0|2|1,0,0,0,True
composition,False,1,3,0|2|2,0,0,0,True
composition,False,1,3,0|2|3,0,0,0,True
composition,False,1,3,0|2|4,0,0,0,True
composition,False,1,3,0|3|0,0,0,0,True
composition,False,1,3,0|3|1,0,0,0,True
composition,False,1,3,0|3|2,0,0,0,True
composition,False,1,3,0|3|3,0,0,0,True
composition,False,1,3,0|3|4,0,0,0,True
composition,False,1,3,0|4|0,0,0,0,True
composition,False,1,3,0|4|1,0,0,0,True
composition,False,1,3,0|4|2,0,0,0,True
composition,False,1,3,0|4|3,0,0,0,True
composition,False,1,3,0|4|4,0,0,0,True
composition,False,1,3,1|0|0,0,0,0,True
composition,False,1,3,1|0|1,0,0,0,True
composition,False,1,3,1|0|2,0,0,0,True
composition,False,1,3,1|0|3,0,0,0,True
composition,False,1,3,1|0|4,0,0,0,True
composition,False,1,3,1|1|0,0,0,0,True
composition,False,1,3,1|1|1,1,0,-1,True
composition,False,1,3,1|1|2,1,0,-1,True
composition,False,1,3,1|1|3,1,0,-1,True
composition,False,1,3,1|1|4,1,0,-1,True
composition,False,1,3,1|2|0,0,0,0,True
composition,False,1,3,1|2|1,1,0,-1,True
composition,False,1,3,1|2|2,1,0,-1,True
composition,False,1,3,1|2|3,1,0,-1,True
composition,False,1,3,1|2|4,1,0,-1,True
composition,False,1,3,1|3|0,0,0,0,True
composition,False,1,3,1|3|1,1,0,-1,True
composition,False,1,3,1|3|2,1,0,-1,True
composition,False,1,3,1|3|3,1,0,-1,True
composition,False,1,3,1|3|4,1,0,-1,True
composition,False,1,3,1|4|0,0,0,0,True
composition,False,1,3,1|4|1,1,0,-1,True
composition,False,1,3,1|4|2,1,0,-1,True
composition,False,1,3,1|4|3,1,0,-1,True
composition,False,1,3,1|4|4,1,0,-1,True
composition,False,1,3,2|0|0,0,0,0,True
composition,False,1,3,2|0|1,0,0,0,True
composition,False,1,3,2|0|2,0,0,0,True
composition,False,1,3,2|0|3,0,0,0,True
composition,False,1,3,2|0|4,0,0,0,True
composition,False,1,3,2|1|0,0,0,0,True
composition,False,1,3,2|1|1,1,0,-1,True
composition,False,1,3,2|1|2,1,0,-1,True
composition,False,1,3,2|1|3,1,0,-1,True
composition,False,1,3,2|1|4,1,0,-1,True
composition,False,1,3,2|2|0,0,0,0,True
composition,False,1,3,2|2|1,1,0,-1,True
composition,False,1,3,2|2|2,2,1,-1,True
composition,False,1,3,2|2|3,2,1,-1,True
composition,False,1,3,2|2|4,2,1,-1,True
composition,False,1,3,2|3|0,0,0,0,True
composition,False,1,3,2|3|1,1,0,-1,True
composition,False,1,3,2|3|2,2,1,-1,True
composition,False,1,3,2|3|3,2,1,-1,True
composition,False,1,3,2|3|4,2,1,-1,True
composition,False,1,3,2|4|0,0,0,0,True
composition,False,1,3,2|4|1,1,0,-1,True
composition,False,1,3,2|4|2,2,1,-1,True
composition,False,1,3,2|4|3,2,1,-1,True
composition,False,1,3,2|4|4,2,1,-1,True
composition,False,1,3,3|0|0,0,0,0,True
composition,False,1,3,3|0|1,0,0,0,True
composition,False,1,3,3|0|2,0,0,0,True
composition,False,1,3,3|0|3,0,0,0,True
composition,False,1,3,3|0|4,0,0,0,True
composition,False,1,3,3|1|0,0,0,0,True
composition,False,1,3,3|1|1,1,0,-1,True
composition,False,1,3,3|1|2,1,0,-1,True
composition,False,1,3,3|1|3,1,0,-1,True
composition,False,1,3,3|1|4,1,0,-1,True
composition,False,1,3,3|2|0,0,0,0,True
composition,False,1,3,3|2|1,1,0,-1,True
composition,False,1,3,3|2|2,2,1,-1,True
composition,False,1,3,3|2|3,2,1,-1,True
composition,False,1,3,3|2|4,2,1,-1,True
composition,False,1,3,3|3|0,0,0,0,True
composition,False,1,3,3|3|1,1,0,-1,True
composition,False,1,3,3|3|2,2,1,-1,True
composition,False,1,3,3|3|3,3,2,-1,True
composition,False,1,3,3|3|4,3,2,-1,True
composition,False,1,3,3|4|0,0,0,0,True
composition,False,1,3,3|4|1,1,0,-1,True
composition,False,1,3,3|4|2,2,1,-1,True
composition,False,1,3,3|4|3,3,2,-1,True
composition,False,1,3,3|4|4,3,2,-1,True
composition,False,1,3,4|0|0,0,0,0,True
composition,False,1,3,4|0|1,0,0,0,True
composition,False,1,3,4|0|2,0,0,0,True
composition,False,1,3,4|0|3,0,0,0,True
composition,False,1,3,4|0|4,0,0,0,True
composition,False,1,3,4|1|0,0,0,0,True
composition,False,1,3,4|1|1,1,0,-1,True
composition,False,1,3,4|1|2,1,0,-1,True
composition,False,1,3,4|1|3,1,0,-1,True
composition,False,1,3,4|1|4,1,0,-1,True
composition,False,1,3,4|2|0,0,0,0,True
composition,False,1,3,4|2|1,1,0,-1,True
composition,False,1,3,4|2|2,2,1,-1,True
composition,False,1,3,4|2|3,2,1,-1,True
composition,False,1,3,4|2|4,2,1,-1,True
composition,False,1,3,4|3|0,0,0,0,True
composition,False,1,3,4|3|1,1,0,-1,True
composition,False,1,3,4|3|2,2,1,-1,True
composition,False,1,3,4|3|3,3,2,-1,True
composition,False,1,3,4|3|4,3,2,-1,True
composition,False,1,3,4|4|0,0,0,0,True
composition,False,1,3,4|4|1,1,0,-1,True
composition,False,1,3,4|4|2,2,1,-1,True
composition,False,1,3,4|4|3,3,2,-1,True
composition,False,1,3,4|4|4,4,3,-1,True
merge,False,0,2,0|0,0,0,0,True
merge,False,0,2,0|1,0,0,0,True
merge,False,0,2,0|2,0,0,0,True
merge,False,0,2,0|3,0,0,0,True
merge,False,0,2,0|4,0,0,0,True
merge,False,0,2,1|0,0,0,0,True
merge,False,0,2,1|1,1,1,0,True
merge,False,0,2,1|2,1,1,0,True
merge,False,0,2,1|3,1,1,0,True
merge,False,0,2,1|4,1,1,0,True
merge,False,0,2,2|0,0,0,0,True
merge,False,0,2,2|1,1,1,0,True
merge,False,0,2,2|2,2,2,0,True
merge,False,0,2,2|3,2,2,0,True
merge,False,0,2,2|4,2,2,0,True
merge,False,0,2,3|0,0,0,0,True
merge,False,0,2,3|1,1,1,0,True
merge,False,0,2,3|2,2,2,0,True
merge,False,0,2,3|3,3,3,0,True
merge,False,0,2,3|4,3,3,0,True
merge,False,0,2,4|0,0,0,0,True
merge,False,0,2,4|1,1,1,0,True
merge,False,0,2,4|2,2,2,0,True
merge,False,0,2,4|3,3,3,0,True
merge,False,0,2,4|4,4,4,0,True
merge,False,0,3,0|0|0,0,0,0,True
merge,False,0,3,0|0|1,0,0,0,True
merge,False,0,3,0|0|2,0,0,0,True
merge,False,0,3,0|0|3,0,0,0,True
merge,False,0,3,0|0|4,0,0,0,True
merge,False,0,3,0|1|0,0,0,0,True
merge,False,0,3,0|1|1,0,0,0,True
merge,False,0,3,0|1|2,0,0,0,True
merge,False,0,3,0|1|3,0,0,0,True
merge,False,0,3,0|1|4,0,0,0,True
merge,False,0,3,0|2|0,0,0,0,True
merge,False,0,3,0|2|1,0,0,0,True
merge,False,0,3,0|2|2,0,0,0,True
merge,False,0,3,0|2|3,0,0,0,True
merge,False,0,3,0|2|4,0,0,0,True
merge,False,0,3,0|3|0,0,0,0,True
merge,False,0,3,0|3|1,0,0,0,True
merge,False,0,3,0|3|2,0,0,0,True
merge,False,0,3,0|3|3,0,0,0,True
merge,False,0,3,0|3|4,0,0,0,True
merge,False,0,3,0|4|0,0,0,0,True
merge,False,0,3,0|4|1,0,0,0,True
merge,False,0,3,0|4|2,0,0,0,True
merge,False,0,3,0|4|3,0,0,0,True
merge,False,0,3,0|4|4,0,0,0,True
merge,False,0,3,1|0|0,0,0,0,True
merge,False,0,3,1|0|1,0,0,0,True
merge,False,0,3,1|0|2,0,0,0,True
merge,False,0,3,1|0|3,0,0,0,True
merge,False,0,3,1|0|4,0,0,0,True
merge,False,0,3,1|1|0,0,0,0,True
merge,False,0,3,1|1|1,1,1,0,True
merge,False,0,3,1|1|2,1,1,0,True
merge,False,0,3,1|1|3,1,1,0,True
merge,False,0,3,1|1|4,1,1,0,True
merge,False,0,3,1|2|0,0,0,0,True
merge,False,0,3,1|2|1,1,1,0,True
merge,False,0,3,1|2|2,1,1,0,True
merge,False,0,3,1|2|3,1,1,0,True
merge,False,0,3,1|2|4,1,1,0,True
merge,False,0,3,1|3|0,0,0,0,True
merge,False,0,3,1|3|1,1,1,0,True
merge,False,0,3,1|3|2,1,1,0,True
merge,False,0,3,1|3|3,1,1,0,True
merge,False,0,3,1|3|4,1,1,0,True
merge,False,0,3,1|4|0,0,0,0,True
merge,False,0,3,1|4|1,1,1,0,True
merge,False,0,3,1|4|2,1,1,0,True
merge,False,0,3,1|4|3,1,1,0,True
merge,False,0,3,1|4|4,1,1,0,True
merge,False,0,3,2|0|0,0,0,0,True
merge,False,0,3,2|0|1,0,0,0,True
merge,False,0,3,2|0|2,0,0,0,True
merge,False,0,3,2|0|3,0,0,0,True
merge,False,0,3,2|0|4,0,0,0,True
merge,False,0,3,2|1|0,0,0,0,True
merge,False,0,3,2|1|1,1,1,0,True
merge,False,0,3,2|1|2,1,1,0,True
merge,False,0,3,2|1|3,1,1,0,True
merge,False,0,3,2|1|4,1,1,0,True
merge,False,0,3,2|2|0,0,0,0,True
merge,False,0,3,2|2|1,1,1,0,True
merge,False,0,3,2|2|2,2,2,0,True
merge,False,0,3,2|2|3,2,2,0,True
merge,False,0,3,2|2|4,2,2,0,True
merge,False,0,3,2|3|0,0,0,0,True
merge,False,0,3,2|3|1,1,1,0,True
merge,False,0,3,2|3|2,2,2,0,True
merge,False,0,3,2|3|3,2,2,0,True
merge,False,0,3,2|3|4,2,2,0,True
merge,False,0,3,2|4|0,0,0,0,True
merge,False,0,3,2|4|1,1,1,0,True
merge,False,0,3,2|4|2,2,2,0,True
merge,False,0,3,2|4|3,2,2,0,True
merge,False,0,3,2|4|4,2,2,0,True
merge,False,0,3,3|0|0,0,0,0,True
merge,False,0,3,3|0|1,0,0,0,True
merge,False,0,3,3|0|2,0,0,0,True
merge,False,0,3,3|0|3,0,0,0,True
merge,False,0,3,3|0|4,0,0,0,True
merge,False,0,3,3|1|0,0,0,0,True
merge,False,0,3,3|1|1,1,1,0,True
merge,False,0,3,3|1|2,1,1,0,True
merge,False,0,3,3|1|3,1,1,0,True
merge,False,0,3,3|1|4,1,1,0,True
merge,False,0,3,3|2|0,0,0,0,True
merge,False,0,3,3|2|1,1,1,0,True
merge,False,0,3,3|2|2,2,2,0,True
merge,False,0,3,3|2|3,2,2,0,True
merge,False,0,3,3|2|4,2,2,0,True
merge,False,0,3,3|3|0,0,0,0,True
merge,False,0,3,3|3|1,1,1,0,True
merge,False,0,3,3|3|2,2,2,0,True
merge,False,0,3,3|3|3,3,3,0,True
merge,False,0,3,3|3|4,3,3,0,True
merge,False,0,3,3|4|0,0,0,0,True
merge,False,0,3,3|4|1,1,1,0,True
merge,False,0,3,3|4|2,2,2,0,True
merge,False,0,3,3|4|3,3,3,0,True
merge,False,0,3,3|4|4,3,3,0,True
merge,False,0,3,4|0|0,0,0,0,True
merge,False,0,3,4|0|1,0,0,0,True
merge,False,0,3,4|0|2,0,0,0,True
merge,False,0,3,4|0|3,0,0,0,True
merge,False,0,3,4|0|4,0,0,0,True
merge,False,0,3,4|1|0,0,0,0,True
merge,False,0,3,4|1|1,1,1,0,True
merge,False,0,3,4|1|2,1,1,0,True
merge,False,0,3,4|1|3,1,1,0,True
merge,False,0,3,4|1|4,1,1,0,True
merge,False,0,3,4|2|0,0,0,0,True
merge,False,0,3,4|2|1,1,1,0,True
merge,False,0,3,4|2|2,2,2,0,True
merge,False,0,3,4|2|3,2,2,0,True
merge,False,0,3,4|2|4,2,2,0,True
merge,False,0,3,4|3|0,0,0,0,True
merge,False,0,3,4|3|1,1,1,0,True
merge,False,0,3,4|3|2,2,2,0,True
merge,False,0,3,4|3|3,3,3,0,True
merge,False,0,3,4|3|4,3,3,0,True
merge,False,0,3,4|4|0,0,0,0,True
merge,False,0,3,4|4|1,1,1,0,True
merge,False,0,3,4|4|2,2,2,0,True
merge,False,0,3,4|4|3,3,3,0,True
merge,False,0,3,4|4|4,4,4,0,True
amplify,True,-1,1,0,0,1,1,False
amplify,True,-1,1,1,1,2,1,False
amplify,True,-1,1,2,2,3,1,False
amplify,True,-1,1,3,3,4,1,False
amplify,True,-1,1,4,4,4,0,True
launder_to_max,True,0,2,0|0,0,0,0,True
launder_to_max,True,0,2,0|1,0,1,1,False
launder_to_max,True,0,2,0|2,0,2,2,False
launder_to_max,True,0,2,0|3,0,3,3,False
launder_to_max,True,0,2,0|4,0,4,4,False
launder_to_max,True,0,2,1|0,0,1,1,False
launder_to_max,True,0,2,1|1,1,1,0,True
launder_to_max,True,0,2,1|2,1,2,1,False
launder_to_max,True,0,2,1|3,1,3,2,False
launder_to_max,True,0,2,1|4,1,4,3,False
launder_to_max,True,0,2,2|0,0,2,2,False
launder_to_max,True,0,2,2|1,1,2,1,False
launder_to_max,True,0,2,2|2,2,2,0,True
launder_to_max,True,0,2,2|3,2,3,1,False
launder_to_max,True,0,2,2|4,2,4,2,False
launder_to_max,True,0,2,3|0,0,3,3,False
launder_to_max,True,0,2,3|1,1,3,2,False
launder_to_max,True,0,2,3|2,2,3,1,False
launder_to_max,True,0,2,3|3,3,3,0,True
launder_to_max,True,0,2,3|4,3,4,1,False
launder_to_max,True,0,2,4|0,0,4,4,False
launder_to_max,True,0,2,4|1,1,4,3,False
launder_to_max,True,0,2,4|2,2,4,2,False
launder_to_max,True,0,2,4|3,3,4,1,False
launder_to_max,True,0,2,4|4,4,4,0,True
launder_to_max,True,0,3,0|0|0,0,0,0,True
launder_to_max,True,0,3,0|0|1,0,1,1,False
launder_to_max,True,0,3,0|0|2,0,2,2,False
launder_to_max,True,0,3,0|0|3,0,3,3,False
launder_to_max,True,0,3,0|0|4,0,4,4,False
launder_to_max,True,0,3,0|1|0,0,1,1,False
launder_to_max,True,0,3,0|1|1,0,1,1,False
launder_to_max,True,0,3,0|1|2,0,2,2,False
launder_to_max,True,0,3,0|1|3,0,3,3,False
launder_to_max,True,0,3,0|1|4,0,4,4,False
launder_to_max,True,0,3,0|2|0,0,2,2,False
launder_to_max,True,0,3,0|2|1,0,2,2,False
launder_to_max,True,0,3,0|2|2,0,2,2,False
launder_to_max,True,0,3,0|2|3,0,3,3,False
launder_to_max,True,0,3,0|2|4,0,4,4,False
launder_to_max,True,0,3,0|3|0,0,3,3,False
launder_to_max,True,0,3,0|3|1,0,3,3,False
launder_to_max,True,0,3,0|3|2,0,3,3,False
launder_to_max,True,0,3,0|3|3,0,3,3,False
launder_to_max,True,0,3,0|3|4,0,4,4,False
launder_to_max,True,0,3,0|4|0,0,4,4,False
launder_to_max,True,0,3,0|4|1,0,4,4,False
launder_to_max,True,0,3,0|4|2,0,4,4,False
launder_to_max,True,0,3,0|4|3,0,4,4,False
launder_to_max,True,0,3,0|4|4,0,4,4,False
launder_to_max,True,0,3,1|0|0,0,1,1,False
launder_to_max,True,0,3,1|0|1,0,1,1,False
launder_to_max,True,0,3,1|0|2,0,2,2,False
launder_to_max,True,0,3,1|0|3,0,3,3,False
launder_to_max,True,0,3,1|0|4,0,4,4,False
launder_to_max,True,0,3,1|1|0,0,1,1,False
launder_to_max,True,0,3,1|1|1,1,1,0,True
launder_to_max,True,0,3,1|1|2,1,2,1,False
launder_to_max,True,0,3,1|1|3,1,3,2,False
launder_to_max,True,0,3,1|1|4,1,4,3,False
launder_to_max,True,0,3,1|2|0,0,2,2,False
launder_to_max,True,0,3,1|2|1,1,2,1,False
launder_to_max,True,0,3,1|2|2,1,2,1,False
launder_to_max,True,0,3,1|2|3,1,3,2,False
launder_to_max,True,0,3,1|2|4,1,4,3,False
launder_to_max,True,0,3,1|3|0,0,3,3,False
launder_to_max,True,0,3,1|3|1,1,3,2,False
launder_to_max,True,0,3,1|3|2,1,3,2,False
launder_to_max,True,0,3,1|3|3,1,3,2,False
launder_to_max,True,0,3,1|3|4,1,4,3,False
launder_to_max,True,0,3,1|4|0,0,4,4,False
launder_to_max,True,0,3,1|4|1,1,4,3,False
launder_to_max,True,0,3,1|4|2,1,4,3,False
launder_to_max,True,0,3,1|4|3,1,4,3,False
launder_to_max,True,0,3,1|4|4,1,4,3,False
launder_to_max,True,0,3,2|0|0,0,2,2,False
launder_to_max,True,0,3,2|0|1,0,2,2,False
launder_to_max,True,0,3,2|0|2,0,2,2,False
launder_to_max,True,0,3,2|0|3,0,3,3,False
launder_to_max,True,0,3,2|0|4,0,4,4,False
launder_to_max,True,0,3,2|1|0,0,2,2,False
launder_to_max,True,0,3,2|1|1,1,2,1,False
launder_to_max,True,0,3,2|1|2,1,2,1,False
launder_to_max,True,0,3,2|1|3,1,3,2,False
launder_to_max,True,0,3,2|1|4,1,4,3,False
launder_to_max,True,0,3,2|2|0,0,2,2,False
launder_to_max,True,0,3,2|2|1,1,2,1,False
launder_to_max,True,0,3,2|2|2,2,2,0,True
launder_to_max,True,0,3,2|2|3,2,3,1,False
launder_to_max,True,0,3,2|2|4,2,4,2,False
launder_to_max,True,0,3,2|3|0,0,3,3,False
launder_to_max,True,0,3,2|3|1,1,3,2,False
launder_to_max,True,0,3,2|3|2,2,3,1,False
launder_to_max,True,0,3,2|3|3,2,3,1,False
launder_to_max,True,0,3,2|3|4,2,4,2,False
launder_to_max,True,0,3,2|4|0,0,4,4,False
launder_to_max,True,0,3,2|4|1,1,4,3,False
launder_to_max,True,0,3,2|4|2,2,4,2,False
launder_to_max,True,0,3,2|4|3,2,4,2,False
launder_to_max,True,0,3,2|4|4,2,4,2,False
launder_to_max,True,0,3,3|0|0,0,3,3,False
launder_to_max,True,0,3,3|0|1,0,3,3,False
launder_to_max,True,0,3,3|0|2,0,3,3,False
launder_to_max,True,0,3,3|0|3,0,3,3,False
launder_to_max,True,0,3,3|0|4,0,4,4,False
launder_to_max,True,0,3,3|1|0,0,3,3,False
launder_to_max,True,0,3,3|1|1,1,3,2,False
launder_to_max,True,0,3,3|1|2,1,3,2,False
launder_to_max,True,0,3,3|1|3,1,3,2,False
launder_to_max,True,0,3,3|1|4,1,4,3,False
launder_to_max,True,0,3,3|2|0,0,3,3,False
launder_to_max,True,0,3,3|2|1,1,3,2,False
launder_to_max,True,0,3,3|2|2,2,3,1,False
launder_to_max,True,0,3,3|2|3,2,3,1,False
launder_to_max,True,0,3,3|2|4,2,4,2,False
launder_to_max,True,0,3,3|3|0,0,3,3,False
launder_to_max,True,0,3,3|3|1,1,3,2,False
launder_to_max,True,0,3,3|3|2,2,3,1,False
launder_to_max,True,0,3,3|3|3,3,3,0,True
launder_to_max,True,0,3,3|3|4,3,4,1,False
launder_to_max,True,0,3,3|4|0,0,4,4,False
launder_to_max,True,0,3,3|4|1,1,4,3,False
launder_to_max,True,0,3,3|4|2,2,4,2,False
launder_to_max,True,0,3,3|4|3,3,4,1,False
launder_to_max,True,0,3,3|4|4,3,4,1,False
launder_to_max,True,0,3,4|0|0,0,4,4,False
launder_to_max,True,0,3,4|0|1,0,4,4,False
launder_to_max,True,0,3,4|0|2,0,4,4,False
launder_to_max,True,0,3,4|0|3,0,4,4,False
launder_to_max,True,0,3,4|0|4,0,4,4,False
launder_to_max,True,0,3,4|1|0,0,4,4,False
launder_to_max,True,0,3,4|1|1,1,4,3,False
launder_to_max,True,0,3,4|1|2,1,4,3,False
launder_to_max,True,0,3,4|1|3,1,4,3,False
launder_to_max,True,0,3,4|1|4,1,4,3,False
launder_to_max,True,0,3,4|2|0,0,4,4,False
launder_to_max,True,0,3,4|2|1,1,4,3,False
launder_to_max,True,0,3,4|2|2,2,4,2,False
launder_to_max,True,0,3,4|2|3,2,4,2,False
launder_to_max,True,0,3,4|2|4,2,4,2,False
launder_to_max,True,0,3,4|3|0,0,4,4,False
launder_to_max,True,0,3,4|3|1,1,4,3,False
launder_to_max,True,0,3,4|3|2,2,4,2,False
launder_to_max,True,0,3,4|3|3,3,4,1,False
launder_to_max,True,0,3,4|3|4,3,4,1,False
launder_to_max,True,0,3,4|4|0,0,4,4,False
launder_to_max,True,0,3,4|4|1,1,4,3,False
launder_to_max,True,0,3,4|4|2,2,4,2,False
launder_to_max,True,0,3,4|4|3,3,4,1,False
launder_to_max,True,0,3,4|4|4,4,4,0,True
